"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
701675,"Church, Nathan","L","L",29.18068742967019,28.947217181918983,32.73934445909962,-10.030733940466693,30.598143141529263,1.417455711859072
669003,"Mitchell, Garrett","L","L",29.63108159140596,29.01451619671546,29.42215397832228,-20.222750463751808,28.53001167860098,-1.1010699128049712
702222,"Crawford, Justin","L","L",25.703082207552264,33.94525354380239,43.75122977982443,-0.5605961233384932,21.321960519122417,-4.381121688429839
800050,"DeLauter, Chase","L","L",26.154663684414775,29.088621579961163,31.436894976420298,-19.366615791499804,29.023316353265,2.8686526688502227
687859,"Johnston, Troy","L","L",33.44494760750849,26.189601523464095,20.04047456113714,-55.65400990402696,34.11004669994559,0.6650990924371155
702332,"Durbin, Caleb","R","R",30.653922934291547,26.136454302619402,27.658889834452136,-9.609076042036785,29.48060758360973,-1.1733153506818184
672724,"Peraza, Oswald","R","R",29.554095605432682,28.869187709453023,34.325173637948104,-5.366848965257315,29.14668645367721,-0.4074091517554736
694384,"Schanuel, Nolan","L","L",29.12888143894964,24.14699016346189,29.433956810976955,-3.55151983169644,33.69965356033408,4.57077212138445
664023,"Happ, Ian","L","L",30.70076856122756,25.736808894892402,25.952016864191467,-0.8661601896245067,34.17059163411332,3.4698230728857444
671976,"Peters, Tristan","L","L",25.30542879189175,29.482546072929782,30.738404834380606,-5.02701047686152,31.339856438744008,6.034427646852257
802415,"Simpson, Chandler","L","L",25.37353341877688,31.06663280681481,31.801073209011438,-8.208174779964411,20.760862617498454,-4.612670801278422
668709,"Bleday, JJ","L","L",27.905355792714584,32.01129533373108,34.63088184881244,-27.30467880681152,32.96079666984943,5.055440877134853
807712,"Keaschall, Luke","R","R",25.425619046764144,27.188964004244383,36.19915113177014,-15.331773727580176,33.21289653897342,7.7872774922092765
670042,"Raley, Luke","L","L",29.31836335712929,28.353912384679937,29.819934730662773,-6.173566441265883,32.654889449709636,3.336526092580353
